Sample	D19	D18	D17	D16	D15	D14	D13	D12	D11	D22	D21	D20	D27	D26	D25	D24	D23	1	2	3	4	5	6	1	2	3	4	5	6
Akkermansia	61	86	63	70	7	2	3	56	6	49	93	0	9	3	10	24	18	35	2	0	0	9	2	1	0	4	59	5	3
Alistipes	1	0	4	2	6	8	9	4	8	0	0	1	2	1	1	0	1	111	103	164	124	118	134	79	42	131	112	70	122
Anaerotruncus	0	0	17	1	0	0	0	0	0	9	0	1	0	0	1	0	0	2	0	0	1	0	0	0	11	1	0	6	1
Bacteroides	4	1	40	20	26	30	23	0	0	0	0	0	15	14	7	10	20	0	0	0	1	0	0	26	8	0	0	0	0
Bifidobacterium	0	0	1	6	0	0	0	0	2	8	13	0	50	76	56	41	49	0	4	1	0	3	1	0	0	2	1	4	3
Blautia	0	0	0	0	0	0	0	3	3	110	61	147	0	0	0	0	0	8	36	8	40	25	7	8	57	33	1	34	26
Cutibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dubosiella	6	9	0	2	5	8	8	27	21	0	0	0	49	48	30	35	31	0	0	0	0	9	0	29	25	0	0	0	0
Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	4	9	0	11	6	5	8	0	8	1	5	8	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Enterorhabdus	2	9	10	3	19	29	19	0	0	0	0	0	1	1	3	9	2	0	1	3	1	0	1	4	3	0	0	1	0
Erysipelatoclostridium	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	2
Faecalibaculum	0	0	0	0	2	3	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0
Lactobacillus	103	66	4	28	93	59	74	86	132	4	8	24	45	29	70	58	49	0	12	0	1	8	18	19	19	0	3	7	8
Muribaculum	0	0	22	28	16	34	34	0	0	0	0	0	10	6	2	3	6	0	9	0	0	8	13	9	9	0	0	0	0
Neisseria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillibacter	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	1	3	24	13	4	12	1	2	2	6	10	3	54	16
Parabacteroides	0	1	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0